NAME,Total 2020 16+ civilian employed,"2020 16+ civilian employed in: Agriculture, forestry, fishing, and hunting)",state,county
"Butler County, Pennsylvania",67185.0,458.0,Pennsylvania,Butler County
"Cambria County, Pennsylvania",39187.0,286.0,Pennsylvania,Cambria County
"Cameron County, Pennsylvania",1349.0,84.0,Pennsylvania,Cameron County
"Carbon County, Pennsylvania",22088.0,214.0,Pennsylvania,Carbon County
"Centre County, Pennsylvania",50541.0,553.0,Pennsylvania,Centre County
"Chester County, Pennsylvania",195124.0,4212.0,Pennsylvania,Chester County
"Clarion County, Pennsylvania",11982.0,197.0,Pennsylvania,Clarion County
"Clearfield County, Pennsylvania",23525.0,324.0,Pennsylvania,Clearfield County
"Clinton County, Pennsylvania",12542.0,258.0,Pennsylvania,Clinton County
"Columbia County, Pennsylvania",21000.0,329.0,Pennsylvania,Columbia County
"Crawford County, Pennsylvania",26346.0,727.0,Pennsylvania,Crawford County
"Cumberland County, Pennsylvania",90332.0,774.0,Pennsylvania,Cumberland County
"Dauphin County, Pennsylvania",102419.0,1569.0,Pennsylvania,Dauphin County
"Delaware County, Pennsylvania",198413.0,513.0,Pennsylvania,Delaware County
"Elk County, Pennsylvania",11497.0,96.0,Pennsylvania,Elk County
"Erie County, Pennsylvania",85650.0,578.0,Pennsylvania,Erie County
"Fayette County, Pennsylvania",38145.0,178.0,Pennsylvania,Fayette County
"Forest County, Pennsylvania",929.0,46.0,Pennsylvania,Forest County
"Franklin County, Pennsylvania",53679.0,1703.0,Pennsylvania,Franklin County
"Fulton County, Pennsylvania",4865.0,115.0,Pennsylvania,Fulton County
"Greene County, Pennsylvania",10264.0,30.0,Pennsylvania,Greene County
"Huntingdon County, Pennsylvania",12718.0,385.0,Pennsylvania,Huntingdon County
"Indiana County, Pennsylvania",23735.0,428.0,Pennsylvania,Indiana County
"Jefferson County, Pennsylvania",13807.0,213.0,Pennsylvania,Jefferson County
"Juniata County, Pennsylvania",8744.0,435.0,Pennsylvania,Juniata County
"Lackawanna County, Pennsylvania",70837.0,290.0,Pennsylvania,Lackawanna County
"Lancaster County, Pennsylvania",187516.0,4532.0,Pennsylvania,Lancaster County
"Lawrence County, Pennsylvania",26437.0,317.0,Pennsylvania,Lawrence County
"Lebanon County, Pennsylvania",47861.0,1176.0,Pennsylvania,Lebanon County
"Lehigh County, Pennsylvania",125455.0,605.0,Pennsylvania,Lehigh County
"Luzerne County, Pennsylvania",106779.0,578.0,Pennsylvania,Luzerne County
"Lycoming County, Pennsylvania",37000.0,379.0,Pennsylvania,Lycoming County
"McKean County, Pennsylvania",12759.0,218.0,Pennsylvania,McKean County
"Mercer County, Pennsylvania",32981.0,386.0,Pennsylvania,Mercer County
"Mifflin County, Pennsylvania",16080.0,450.0,Pennsylvania,Mifflin County
"Monroe County, Pennsylvania",55891.0,235.0,Pennsylvania,Monroe County
"Montgomery County, Pennsylvania",313933.0,564.0,Pennsylvania,Montgomery County
"Montour County, Pennsylvania",5811.0,100.0,Pennsylvania,Montour County
"Northampton County, Pennsylvania",108174.0,634.0,Pennsylvania,Northampton County
"Northumberland County, Pennsylvania",29763.0,299.0,Pennsylvania,Northumberland County
"Perry County, Pennsylvania",17268.0,466.0,Pennsylvania,Perry County
"Philadelphia County, Pennsylvania",504175.0,525.0,Pennsylvania,Philadelphia County
"Pike County, Pennsylvania",16882.0,129.0,Pennsylvania,Pike County
"Potter County, Pennsylvania",4807.0,246.0,Pennsylvania,Potter County
"Schuylkill County, Pennsylvania",46760.0,729.0,Pennsylvania,Schuylkill County
"Snyder County, Pennsylvania",14149.0,452.0,Pennsylvania,Snyder County
"Somerset County, Pennsylvania",23619.0,599.0,Pennsylvania,Somerset County
"Sullivan County, Pennsylvania",2012.0,138.0,Pennsylvania,Sullivan County
"Susquehanna County, Pennsylvania",12639.0,304.0,Pennsylvania,Susquehanna County
"Tioga County, Pennsylvania",12677.0,444.0,Pennsylvania,Tioga County
"Union County, Pennsylvania",11667.0,166.0,Pennsylvania,Union County
"Venango County, Pennsylvania",15873.0,103.0,Pennsylvania,Venango County
"Warren County, Pennsylvania",12862.0,279.0,Pennsylvania,Warren County
"Washington County, Pennsylvania",69741.0,499.0,Pennsylvania,Washington County
"Wayne County, Pennsylvania",14831.0,256.0,Pennsylvania,Wayne County
"Westmoreland County, Pennsylvania",121010.0,373.0,Pennsylvania,Westmoreland County
"Wyoming County, Pennsylvania",8863.0,150.0,Pennsylvania,Wyoming County
"York County, Pennsylvania",163961.0,1257.0,Pennsylvania,York County
"Anderson County, Texas",14467.0,320.0,Texas,Anderson County
"Andrews County, Texas",6934.0,59.0,Texas,Andrews County
"Angelina County, Texas",27481.0,632.0,Texas,Angelina County
"Aransas County, Texas",5865.0,4.0,Texas,Aransas County
"Archer County, Texas",3260.0,190.0,Texas,Archer County
"Armstrong County, Texas",728.0,80.0,Texas,Armstrong County
"Atascosa County, Texas",14883.0,242.0,Texas,Atascosa County
"Austin County, Texas",10496.0,132.0,Texas,Austin County
"Bailey County, Texas",1760.0,489.0,Texas,Bailey County
"Bandera County, Texas",6396.0,366.0,Texas,Bandera County
"Bastrop County, Texas",28745.0,194.0,Texas,Bastrop County
"Baylor County, Texas",1144.0,180.0,Texas,Baylor County
"Bee County, Texas",7320.0,99.0,Texas,Bee County
"Bell County, Texas",102860.0,355.0,Texas,Bell County
"Bexar County, Texas",664439.0,1303.0,Texas,Bexar County
"Blanco County, Texas",4235.0,173.0,Texas,Blanco County
"Borden County, Texas",158.0,38.0,Texas,Borden County
"Bosque County, Texas",5870.0,133.0,Texas,Bosque County
"Bowie County, Texas",29285.0,317.0,Texas,Bowie County
"Brazoria County, Texas",133142.0,553.0,Texas,Brazoria County
"Brazos County, Texas",71300.0,625.0,Texas,Brazos County
"Brewster County, Texas",3265.0,104.0,Texas,Brewster County
"Briscoe County, Texas",426.0,92.0,Texas,Briscoe County
"Brooks County, Texas",1481.0,99.0,Texas,Brooks County
"Brown County, Texas",12051.0,355.0,Texas,Brown County
"Burleson County, Texas",5776.0,299.0,Texas,Burleson County
"Burnet County, Texas",14943.0,123.0,Texas,Burnet County
"Caldwell County, Texas",14887.0,165.0,Texas,Caldwell County
"Calhoun County, Texas",8131.0,397.0,Texas,Calhoun County
"Callahan County, Texas",4366.0,177.0,Texas,Callahan County
"Cameron County, Texas",114373.0,1273.0,Texas,Cameron County
"Camp County, Texas",3821.0,111.0,Texas,Camp County
"Carson County, Texas",2414.0,252.0,Texas,Carson County
"Cass County, Texas",9227.0,147.0,Texas,Cass County
"Castro County, Texas",2624.0,691.0,Texas,Castro County
"Chambers County, Texas",14117.0,116.0,Texas,Chambers County
"Cherokee County, Texas",15545.0,628.0,Texas,Cherokee County
"Childress County, Texas",2339.0,354.0,Texas,Childress County
"Clay County, Texas",3695.0,196.0,Texas,Clay County
"Cochran County, Texas",881.0,151.0,Texas,Cochran County
"Coke County, Texas",1039.0,34.0,Texas,Coke County
"Coleman County, Texas",2709.0,155.0,Texas,Coleman County
"Collin County, Texas",405489.0,886.0,Texas,Collin County
"Collingsworth County, Texas",882.0,107.0,Texas,Collingsworth County
"Colorado County, Texas",7130.0,328.0,Texas,Colorado County
"Comal County, Texas",50767.0,204.0,Texas,Comal County
"Comanche County, Texas",4637.0,414.0,Texas,Comanche County
"Concho County, Texas",612.0,65.0,Texas,Concho County
"Cooke County, Texas",14368.0,529.0,Texas,Cooke County
"Coryell County, Texas",17595.0,234.0,Texas,Coryell County
"Cottle County, Texas",460.0,61.0,Texas,Cottle County
"Crane County, Texas",1500.0,0.0,Texas,Crane County
"Crockett County, Texas",1552.0,266.0,Texas,Crockett County
"Crosby County, Texas",1773.0,215.0,Texas,Crosby County
"Culberson County, Texas",713.0,63.0,Texas,Culberson County
"Dallam County, Texas",2559.0,584.0,Texas,Dallam County
"Dallas County, Texas",998680.0,1643.0,Texas,Dallas County
"Dawson County, Texas",3211.0,438.0,Texas,Dawson County
"Deaf Smith County, Texas",6690.0,991.0,Texas,Deaf Smith County
"Delta County, Texas",1530.0,87.0,Texas,Delta County
"Denton County, Texas",347651.0,946.0,Texas,Denton County
"DeWitt County, Texas",5690.0,189.0,Texas,DeWitt County
"Dickens County, Texas",553.0,65.0,Texas,Dickens County
"Dimmit County, Texas",2214.0,16.0,Texas,Dimmit County
"Donley County, Texas",1133.0,238.0,Texas,Donley County
"Duval County, Texas",2995.0,160.0,Texas,Duval County
"Eastland County, Texas",4799.0,272.0,Texas,Eastland County
"Ector County, Texas",57482.0,98.0,Texas,Ector County
"Edwards County, Texas",491.0,162.0,Texas,Edwards County
"Ellis County, Texas",67506.0,294.0,Texas,Ellis County
"El Paso County, Texas",246500.0,630.0,Texas,El Paso County
"Erath County, Texas",12614.0,898.0,Texas,Erath County
"Falls County, Texas",4291.0,315.0,Texas,Falls County
"Fannin County, Texas",10868.0,360.0,Texas,Fannin County
"Fayette County, Texas",8434.0,244.0,Texas,Fayette County
"Fisher County, Texas",1541.0,139.0,Texas,Fisher County
"Floyd County, Texas",1781.0,290.0,Texas,Floyd County
"Foard County, Texas",381.0,70.0,Texas,Foard County
"Fort Bend County, Texas",278710.0,1019.0,Texas,Fort Bend County
"Franklin County, Texas",3677.0,196.0,Texas,Franklin County
"Freestone County, Texas",5661.0,279.0,Texas,Freestone County
"Frio County, Texas",4992.0,580.0,Texas,Frio County
"Gaines County, Texas",6728.0,770.0,Texas,Gaines County
"Galveston County, Texas",116648.0,470.0,Texas,Galveston County
"Garza County, Texas",1281.0,19.0,Texas,Garza County
"Gillespie County, Texas",7976.0,512.0,Texas,Gillespie County
"Glasscock County, Texas",403.0,113.0,Texas,Glasscock County
"Goliad County, Texas",2379.0,121.0,Texas,Goliad County
"Gonzales County, Texas",7336.0,418.0,Texas,Gonzales County
"Gray County, Texas",6777.0,312.0,Texas,Gray County
"Grayson County, Texas",45955.0,330.0,Texas,Grayson County
"Gregg County, Texas",40929.0,22.0,Texas,Gregg County
"Grimes County, Texas",7812.0,341.0,Texas,Grimes County
"Guadalupe County, Texas",58699.0,296.0,Texas,Guadalupe County
"Hale County, Texas",10516.0,788.0,Texas,Hale County
"Hall County, Texas",784.0,156.0,Texas,Hall County
"Hamilton County, Texas",2405.0,151.0,Texas,Hamilton County
"Hansford County, Texas",1675.0,435.0,Texas,Hansford County
"Hardeman County, Texas",1449.0,142.0,Texas,Hardeman County
"Hardin County, Texas",18669.0,11.0,Texas,Hardin County
"Harris County, Texas",1675201.0,2681.0,Texas,Harris County
"Harrison County, Texas",20254.0,218.0,Texas,Harrison County
"Hartley County, Texas",1591.0,330.0,Texas,Hartley County
"Haskell County, Texas",1761.0,168.0,Texas,Haskell County
"Hays County, Texas",80072.0,152.0,Texas,Hays County
"Hemphill County, Texas",1320.0,126.0,Texas,Hemphill County
"Henderson County, Texas",22688.0,560.0,Texas,Henderson County
"Hidalgo County, Texas",222568.0,2869.0,Texas,Hidalgo County
"Hill County, Texas",11350.0,433.0,Texas,Hill County
"Hockley County, Texas",7361.0,414.0,Texas,Hockley County
"Hood County, Texas",19127.0,209.0,Texas,Hood County
"Hopkins County, Texas",12841.0,379.0,Texas,Hopkins County
"Houston County, Texas",6201.0,447.0,Texas,Houston County
"Howard County, Texas",10474.0,179.0,Texas,Howard County
"Hudspeth County, Texas",933.0,105.0,Texas,Hudspeth County
"Hunt County, Texas",30712.0,288.0,Texas,Hunt County
"Hutchinson County, Texas",6305.0,65.0,Texas,Hutchinson County
"Irion County, Texas",559.0,34.0,Texas,Irion County
"Jack County, Texas",2420.0,89.0,Texas,Jack County
"Jackson County, Texas",4499.0,207.0,Texas,Jackson County
"Jasper County, Texas",9464.0,227.0,Texas,Jasper County
"Jeff Davis County, Texas",505.0,128.0,Texas,Jeff Davis County
"Jefferson County, Texas",76989.0,466.0,Texas,Jefferson County
"Jim Hogg County, Texas",1346.0,23.0,Texas,Jim Hogg County
"Jim Wells County, Texas",12162.0,383.0,Texas,Jim Wells County
"Johnson County, Texas",62148.0,478.0,Texas,Johnson County
"Jones County, Texas",3903.0,180.0,Texas,Jones County
"Karnes County, Texas",3712.0,65.0,Texas,Karnes County
"Kaufman County, Texas",46389.0,249.0,Texas,Kaufman County
"Kendall County, Texas",14272.0,178.0,Texas,Kendall County
"Kenedy County, Texas",127.0,59.0,Texas,Kenedy County
"Kent County, Texas",186.0,7.0,Texas,Kent County
"Kerr County, Texas",15784.0,354.0,Texas,Kerr County
"Kimble County, Texas",1281.0,128.0,Texas,Kimble County
"King County, Texas",85.0,37.0,Texas,King County
"Kinney County, Texas",984.0,60.0,Texas,Kinney County
"Kleberg County, Texas",7806.0,282.0,Texas,Kleberg County
"Knox County, Texas",1231.0,209.0,Texas,Knox County
"Lamar County, Texas",15843.0,743.0,Texas,Lamar County
"Lamb County, Texas",4144.0,551.0,Texas,Lamb County
"Lampasas County, Texas",6591.0,135.0,Texas,Lampasas County
"La Salle County, Texas",1892.0,233.0,Texas,La Salle County
"Lavaca County, Texas",6827.0,230.0,Texas,Lavaca County
"Lee County, Texas",5755.0,126.0,Texas,Lee County
"Leon County, Texas",4932.0,361.0,Texas,Leon County
"Liberty County, Texas",22950.0,452.0,Texas,Liberty County
"Limestone County, Texas",6580.0,267.0,Texas,Limestone County
"Lipscomb County, Texas",1194.0,108.0,Texas,Lipscomb County
"Live Oak County, Texas",3127.0,70.0,Texas,Live Oak County
"Llano County, Texas",5464.0,104.0,Texas,Llano County
"Loving County, Texas",20.0,8.0,Texas,Loving County
"Lubbock County, Texas",104796.0,1482.0,Texas,Lubbock County
"Lynn County, Texas",1867.0,194.0,Texas,Lynn County
"McCulloch County, Texas",2456.0,103.0,Texas,McCulloch County
"McLennan County, Texas",82868.0,664.0,Texas,McLennan County
"McMullen County, Texas",230.0,26.0,Texas,McMullen County
"Madison County, Texas",3891.0,458.0,Texas,Madison County
"Marion County, Texas",2672.0,53.0,Texas,Marion County
"Martin County, Texas",2004.0,275.0,Texas,Martin County
"Mason County, Texas",1208.0,184.0,Texas,Mason County
"Matagorda County, Texas",10864.0,665.0,Texas,Matagorda County
"Maverick County, Texas",15245.0,383.0,Texas,Maverick County
"Medina County, Texas",16004.0,183.0,Texas,Medina County
"Menard County, Texas",676.0,108.0,Texas,Menard County
"Midland County, Texas",65279.0,189.0,Texas,Midland County
"Milam County, Texas",7778.0,270.0,Texas,Milam County
"Mills County, Texas",1232.0,96.0,Texas,Mills County
"Mitchell County, Texas",2048.0,85.0,Texas,Mitchell County
"Montague County, Texas",5830.0,247.0,Texas,Montague County
"Montgomery County, Texas",209787.0,693.0,Texas,Montgomery County
"Moore County, Texas",8042.0,790.0,Texas,Moore County
"Morris County, Texas",4138.0,53.0,Texas,Morris County
"Motley County, Texas",399.0,120.0,Texas,Motley County
"Nacogdoches County, Texas",18298.0,453.0,Texas,Nacogdoches County
"Navarro County, Texas",15241.0,445.0,Texas,Navarro County
"Newton County, Texas",3263.0,78.0,Texas,Newton County
"Nolan County, Texas",4405.0,116.0,Texas,Nolan County
"Nueces County, Texas",122663.0,611.0,Texas,Nueces County
"Ochiltree County, Texas",3228.0,173.0,Texas,Ochiltree County
"Oldham County, Texas",715.0,100.0,Texas,Oldham County
"Orange County, Texas",29023.0,139.0,Texas,Orange County
"Palo Pinto County, Texas",9110.0,260.0,Texas,Palo Pinto County
"Panola County, Texas",6865.0,157.0,Texas,Panola County
"Parker County, Texas",48287.0,1030.0,Texas,Parker County
"Parmer County, Texas",3851.0,707.0,Texas,Parmer County
"Pecos County, Texas",4916.0,193.0,Texas,Pecos County
"Polk County, Texas",13044.0,243.0,Texas,Polk County
"Potter County, Texas",38525.0,209.0,Texas,Potter County
"Presidio County, Texas",1834.0,479.0,Texas,Presidio County
"Rains County, Texas",3556.0,41.0,Texas,Rains County
"Randall County, Texas",52466.0,847.0,Texas,Randall County
"Reagan County, Texas",1422.0,75.0,Texas,Reagan County
"Real County, Texas",889.0,96.0,Texas,Real County
"Red River County, Texas",3348.0,200.0,Texas,Red River County
"Reeves County, Texas",4059.0,387.0,Texas,Reeves County
"Refugio County, Texas",2124.0,66.0,Texas,Refugio County
"Roberts County, Texas",296.0,42.0,Texas,Roberts County
"Robertson County, Texas",4997.0,201.0,Texas,Robertson County
"Rockwall County, Texas",39090.0,146.0,Texas,Rockwall County
"Runnels County, Texas",3382.0,186.0,Texas,Runnels County
"Rusk County, Texas",16372.0,238.0,Texas,Rusk County
"Sabine County, Texas",2310.0,86.0,Texas,Sabine County
"San Augustine County, Texas",2132.0,149.0,Texas,San Augustine County
"San Jacinto County, Texas",7226.0,130.0,Texas,San Jacinto County
"San Patricio County, Texas",21182.0,438.0,Texas,San Patricio County
"San Saba County, Texas",1726.0,302.0,Texas,San Saba County
"Schleicher County, Texas",789.0,119.0,Texas,Schleicher County
"Scurry County, Texas",4804.0,96.0,Texas,Scurry County
"Shackelford County, Texas",1050.0,98.0,Texas,Shackelford County
"Shelby County, Texas",6937.0,575.0,Texas,Shelby County
"Sherman County, Texas",1104.0,336.0,Texas,Sherman County
"Smith County, Texas",77208.0,520.0,Texas,Smith County
"Somervell County, Texas",2899.0,95.0,Texas,Somervell County
"Starr County, Texas",14106.0,283.0,Texas,Starr County
"Stephens County, Texas",2528.0,56.0,Texas,Stephens County
"Sterling County, Texas",477.0,36.0,Texas,Sterling County
"Stonewall County, Texas",463.0,37.0,Texas,Stonewall County
"Sutton County, Texas",1315.0,100.0,Texas,Sutton County
"Swisher County, Texas",1938.0,467.0,Texas,Swisher County
"Tarrant County, Texas",774731.0,1048.0,Texas,Tarrant County
"Taylor County, Texas",46909.0,383.0,Texas,Taylor County
"Terrell County, Texas",261.0,30.0,Texas,Terrell County
"Terry County, Texas",3605.0,437.0,Texas,Terry County
"Throckmorton County, Texas",458.0,76.0,Texas,Throckmorton County
"Titus County, Texas",11115.0,156.0,Texas,Titus County
"Tom Green County, Texas",41048.0,670.0,Texas,Tom Green County
"Travis County, Texas",526548.0,1247.0,Texas,Travis County
"Trinity County, Texas",3701.0,138.0,Texas,Trinity County
"Tyler County, Texas",4305.0,271.0,Texas,Tyler County
"Upshur County, Texas",12537.0,200.0,Texas,Upshur County
"Upton County, Texas",1212.0,48.0,Texas,Upton County
"Uvalde County, Texas",7663.0,269.0,Texas,Uvalde County
"Val Verde County, Texas",13822.0,298.0,Texas,Val Verde County
"Van Zandt County, Texas",16879.0,675.0,Texas,Van Zandt County
"Victoria County, Texas",29632.0,301.0,Texas,Victoria County
"Walker County, Texas",18504.0,283.0,Texas,Walker County
"Waller County, Texas",17069.0,284.0,Texas,Waller County
"Ward County, Texas",3947.0,37.0,Texas,Ward County
"Washington County, Texas",12374.0,342.0,Texas,Washington County
"Webb County, Texas",81477.0,305.0,Texas,Webb County
"Wharton County, Texas",13393.0,1162.0,Texas,Wharton County
"Wheeler County, Texas",1855.0,159.0,Texas,Wheeler County
"Wichita County, Texas",39839.0,251.0,Texas,Wichita County
"Wilbarger County, Texas",4246.0,155.0,Texas,Wilbarger County
"Willacy County, Texas",5991.0,572.0,Texas,Willacy County
"Williamson County, Texas",216662.0,514.0,Texas,Williamson County
"Wilson County, Texas",17642.0,289.0,Texas,Wilson County
"Winkler County, Texas",2814.0,62.0,Texas,Winkler County
"Wise County, Texas",23694.0,293.0,Texas,Wise County
"Wood County, Texas",12415.0,372.0,Texas,Wood County
"Yoakum County, Texas",2910.0,284.0,Texas,Yoakum County
"Young County, Texas",6178.0,337.0,Texas,Young County
"Zapata County, Texas",3328.0,127.0,Texas,Zapata County
"Zavala County, Texas",3080.0,114.0,Texas,Zavala County
